section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
B,B MINING AND QUARRYING,09,09 Mining support service activities,091,09.1 Support activities for petroleum and natural gas extraction,B MINING AND QUARRYING 09 Mining support service activities 09.1 Support activities for petroleum and natural gas extraction
C,C MANUFACTURING,13,13 Manufacture of textiles,131,13.1 Preparation and spinning of textile fibres,C MANUFACTURING 13 Manufacture of textiles 13.1 Preparation and spinning of textile fibres
C,C MANUFACTURING,12,12 Manufacture of tobacco products,120,12.0 Manufacture of tobacco products,C MANUFACTURING 12 Manufacture of tobacco products 12.0 Manufacture of tobacco products
L,L FINANCIAL AND INSURANCE ACTIVITIES,65,"65 Insurance, reinsurance and pension funding, except compulsory social security",653,65.3 Pension funding,"L FINANCIAL AND INSURANCE ACTIVITIES 65 Insurance, reinsurance and pension funding, except compulsory social security 65.3 Pension funding"
L,L FINANCIAL AND INSURANCE ACTIVITIES,65,"65 Insurance, reinsurance and pension funding, except compulsory social security",652,65.2 Reinsurance,"L FINANCIAL AND INSURANCE ACTIVITIES 65 Insurance, reinsurance and pension funding, except compulsory social security 65.2 Reinsurance"
L,L FINANCIAL AND INSURANCE ACTIVITIES,65,"65 Insurance, reinsurance and pension funding, except compulsory social security",651,65.1 Insurance,"L FINANCIAL AND INSURANCE ACTIVITIES 65 Insurance, reinsurance and pension funding, except compulsory social security 65.1 Insurance This group includes life insurance with or without a substantial savings element and non-life insurance.

This group includes:
- life insurance and life reinsurance with or without a substantial savings element and other non-life insurance
- activities of insurance providers on own account
- pooling and assuming insurance risks This group also includes captive insurance activities."
C,C MANUFACTURING,27,27 Manufacture of electrical equipment,272,27.2 Manufacture of batteries and accumulators,C MANUFACTURING 27 Manufacture of electrical equipment 27.2 Manufacture of batteries and accumulators
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",74,"74 Other professional, scientific and technical activities",741,74.1 Specialised design activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 74 Other professional, scientific and technical activities 74.1 Specialised design activities"
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",73,"73 Activities of advertising, market research and public relations",732,73.2 Market research and public opinion polling,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 73 Activities of advertising, market research and public relations 73.2 Market research and public opinion polling"
C,C MANUFACTURING,14,14 Manufacture of wearing apparel,141,14.1 Manufacture of knitted and crocheted apparel,C MANUFACTURING 14 Manufacture of wearing apparel 14.1 Manufacture of knitted and crocheted apparel
L,L FINANCIAL AND INSURANCE ACTIVITIES,64,"64 Financial service activities, except insurance and pension funding",641,64.1 Monetary intermediation,"L FINANCIAL AND INSURANCE ACTIVITIES 64 Financial service activities, except insurance and pension funding 64.1 Monetary intermediation This group includes obtaining and providing funds in the form of transferable deposits or close substitutes, in other words, funds that are fixed in money terms, obtained on a day-to-day basis and distributing these funds."
L,L FINANCIAL AND INSURANCE ACTIVITIES,64,"64 Financial service activities, except insurance and pension funding",649,"64.9 Other financial service activities, except insurance and pension funding","L FINANCIAL AND INSURANCE ACTIVITIES 64 Financial service activities, except insurance and pension funding 64.9 Other financial service activities, except insurance and pension funding This group includes financial service activities (except insurance and pension funding activities), other than those conducted by monetary institutions, holding companies and financing conduits, trusts, funds and similar entities."
L,L FINANCIAL AND INSURANCE ACTIVITIES,66,66 Activities auxiliary to financial services and insurance activities,663,66.3 Fund management activities,L FINANCIAL AND INSURANCE ACTIVITIES 66 Activities auxiliary to financial services and insurance activities 66.3 Fund management activities
